,Need_id,Need_tweets
77,592236359823151104,"RT @HumanityRoad: MT @KanakManiDixit Blood donations needed. Call Dr. Manita at 98510-84500, Nepal Red Cross Blood Bank. #NepalQuake #hmrd …"
78,592256891226468352,People in #nepal need blood.. Can India help them by providing the some blood? #blooddonation #NepalEarthquake
79,592246635071049728,@PMOIndia  Can we please ask blood banks across India to pitch in with the Blood Bottles for Nepal? #NepalEarthquake #NepalQuakeRelief
80,592251287820849152,@VerseCannon @SanghParivarOrg people there need food &amp; shelter not gospel. Lord Pashupatinath is there to take care of Nepal.
81,592247746251214848,RT @SudaceThapa: Urgent #NepalQuake : Blood shortage in #Kathmandu. For Blood donation call Dr. Manita at 98510-84500 at Nepal Red Cross Bl…
82,592249969987461121,"@SrBachchan @imsrk sir, plz 4ward this tweet; 2 rqt all helpful ppl to donate bloods in nearby hospitals. blood scarce in Nepal's hospitals."
83,592267700853821440,"RT @rajuthapa: Nepal Medical College,  Jorpati. 
Tent/tarpaulin needed urgent.

where we got redcross facilitate http://t.co/oaScqmkL8R"
84,592258807683686400,"RT @ggiittiikkaa: India sends mobile hospital with doctors &amp; medical aid, as hospitals in Nepal don't have enough rooms &amp; doctors to help t…"
85,592264283704070144,RT @lbelbase: @PlanAsia @unnikru Great work @SC_Nepal #SaveTheChildren Blood Bank has now announced for the need of more blood! Please spre…
86,592263482415845376,"RT @NisheshAcharya: Deupur Gairibisauna of Kavre- no houses left, no food and livestock trapped under debris. plz go for help is anyone is …"
87,592265539377967106,"RT @oxfamgbpress: Oxfam #Nepal appeal launched to deliver water, sanitation and emergency food supplies. Please donate here: http://t.co/KS…"
88,592259302917677057,"RT @nepalConfession: #message 
We need a blood ..Nepal Red Cross  society has announce that we are loosing the blood from blood bank... htt…"
89,592257707408642048,"RT @NplJoker: After observation, I humbly request with Nepal Government that please provide drinkable water to every small &amp; big safety cam…"
90,592281070776651776,Donate blood and save lifes.....we are with u .... #Nepal
91,592279835960971265,Nepal earthquake: Injured treated outdoors as Kathmandu hospital grapples with rush of victims http://t.co/872GyeyjHm #NepalEarthquake #HT
92,592279403679223809,There is shortage of Blood as well as oxygen cylinders...Nepal is in huge crisis.
93,592279426030641153,I request to SPGC pls send food to needy  people of Nepal they want food and water pls send them as soon as possible.
94,592273283233353728,RT @sadanpande: @narendramodi ...thousand Indians stranded in Nepal....plz help them..no water nothing to eat...queuing outside airport #Ne…
95,592277527432859649,"RT @SaveUKNews: “We need to provide clean water urgently” - Roger Hodgson, Save the Children Nepal #NepalEarthquake"
96,592281354680696832,"@thekiranbedi @realpreityzinta @rks_14 @narendramodi Give me protection for Nepal,Give For Food ,Water And Medician ,India Help for nepal.:)"
97,592281143434608640,"RT @subhash580: Teaching Hospital, Kathmandu Medical Hospital and many others urgently need blood. Plz donate. #donateblood #earthquake"
98,592296149047840768,@WSJ US can keep announicing $1mn for Nepal-while people die-relief supplies/medicine/doctors r needed not dollars-insensitivity precictble2
99,592287188995448832,Earthquake victims at @dhulikhel hospital please help with foods cloths shelther food bed blankets etc... http://t.co/aS78FaGLsj
100,592289768211283969,"@ANI_news

I Requested to all News Channels Please Provide some Dry Food's, Biscuits or Mineral Waters for Nepal Effected People's."
101,592290022390398978,Nepal's PM urges people to donate blood... http://t.co/dN6te53QnU
102,592287122192609280,"Rainfall start in bhaktapur nepal, create another problem for the people in camps, sanitation and clean drinking water is needed."
103,592284518796529664,"@HMOIndia, @PMOIndia,

I Requested to PM. Mr. Modi, Please Provide some Dry Food, Biscuits or Mineral Waters for Nepal Effected People's."
104,592286342073028608,"RT @Jaw_Knock: Chirayu hospital has been evacuated after cracks after #NepalQuake , ishan hospital treating patients on the road. #Nepal"
105,592298916109922304,"RT @mamtan14: What Nepal will need 
clothes 
Blankets
dried Food (Biscuits etc) 
Portable Toilets ( Japan Shld Donate) 
Medicines 
Water"
106,592302286224756736,"RT @dilnawazpasha: Due to heavy damage to houses Nepal needs Tents, first Aid, Medicine, food supplies @ankitlal @iHunnt #NepalNeedsHelp"
107,592298130000883712,"Body bags, Tents, water, medicine, pain killers urgently needed in #earthquake  stricken #Nepal"
108,592301932800151553,"@TheEllenShow people are running out of water n foods. Please help #nepal. 
#HELPNEPAL #NepalEarthquake"
109,592297709274431489,@cnnbrk @CNN US can keep announicing $1mn for Nepal-while people die- relief supplies/medicine/doctors r needed not dollars
110,592303614820909056,"RT @BBCSanjoyM: Nepal govt minister: we urgently need body bags, tents and water #NepalEarthquake"
111,592300689742692353,Please help us get some tent/tarpaulin. Patients need as none want to go indoors Help pls.@nishchaldhakal #Earthquake http://t.co/nomIZLJL7i
112,592311468428668930,RT @TanuDolly: Emergency hospital on road nepal #earthquake http://t.co/I0DFYiDErY
113,592313828072755200,"RT @gauravcsawant: Need 10 medium &amp; heavy lift hepters, fixed wing aircraft, water treatment plants urgently: Ram Sharan Mahant, Fin min Ne…"
114,592315004533084160,@kiranshaw there is urgent need of medicines in Nepal If possible help https://t.co/dPgESzxgJW
115,592321499517726721,"RT @thisiskrishna: Dear @ITCCorpCom @ParleNews @Amul_Coop @NestleIndia ,Please supply food packages to Nepal for sake of humanity,They migh…"
116,592320829624492032,Nepal hospitals are running out of drugs and the rescue efforts need support. I just donated to the Red Cross appeal http://t.co/wBK1l65Oon
117,592318616399319041,"I wish it ws easy for me to go to Nepal to help my bff's folks. Camping outside their own crumpled house. No water, food n electricity"
118,592317515272818688,@UPGovt is doing great job by sending medical staffs to Nepal. Doctors are badly needed there. Good samritan @yadavakhilesh. #NepalQuake
119,592323424136990720,@pfizer Please provide medicine and aid to Nepal #helpNepal #NepalEarthquake
120,592317457475379200,"RT @NRaule: Now i can see so many people lying at BICC ground. Many of them r without tent.Cold wind, searching for foods &amp; tent
#earthquak…"
121,592317171772043264,"DONATE BLOOD - HELP NEPAL

Blood donation going on at Nivedita Multispeciality Hospital in Pradhan Nagar,... http://t.co/RVdcvxw7r1"
122,592331213005697025,RT @RoySamapti: Big numbers of people are waiting for flight in Nepal! They dont have food frm yesterday even not have Water! So painful it…
123,592334978282696705,"TENTS , PLASTIC SHEETS, BLANKETS must be required in NEPAL. We all can contribute &amp; hopefully TV Channels will give address of ORGANIZATIONS"
124,592346324286050305,"RT @alok227: Women, children sleeping in open ground at Koat Bazaar, Sitamarhi fearing #earthquake without argmnt of water,food. http://t.c…"
125,592339760330379264,"RT @Ekendra: Dear rescue team, we have run out of supplies including water, food &amp; tents at this location 27°39′26″N  85°18′36″E #earthquak…"
126,592341962667130880,"Nepal needs drinking water and fuel , food. hope India takes care. @Pmoindia"
127,592342067033939970,"RT @Manda4UA: #Nepal isn't begging for food or water today, they are begging for body bags. I can't even imagine how horrific it is. #Nepal…"
128,592348809927102465,@BBCBreaking Nepal urgently needs tent/food/medicine/doctors-24 hrs past UK still thinking about $-india sent tones of relief with in hours
129,592339472831762432,RT @ievaluate: List of meds needed in #nepal at Bir Hospital  https://t.co/bsNPYUoHWk
130,592339227976806400,"RT @Ekendra: Some few people were lucky enough to have tent materials but majority in serious need, where is the relief? #Nepal http://t.co…"
131,592349024574840834,"99% of people in Kathmandu are out in the cold streets without food, water, electricity or connectivity.
#help #Nepal #NepalEarthquake"
132,592343977572966400,"RT @InfoMumbai: Urgent need of  analgesic,antibiotics, betadiene, swabs in kathmandu!! Call for help 9851166044  #earthquake #Nepal #KTM @B…"
133,592348601184952321,"RT @priyanka_bista: Rural regions in Nepal outside of kathmandu still need emergency help. In Sanga, 30 homes have been decimated #nepalear…"
134,592358567560122369,"Hope for no rain. ""@nytimesworld: Nepal quake victims sleeping outside. Water, food scarce: http://t.co/LtKpWttXYx http://t.co/e502wAnhzI"""
135,592357299601027072,"RT @SamiYusuf: We need your donation to get immediate food assistance to victims of the #NepalQuake 

http://t.co/lZ3eZPUiM5 http://t.co/lC…"
136,592350787847659521,"RT @dibang: Emergency Hospital on Roadside
#Kathmandu #Earthquake Nepal
. http://t.co/kVvQJwdCc9"
137,592355054323019776,RT @fullauri: can anyone we know pick the 2000 second hand tents from Sunauli and distribute it to the people in need in Nepal? #NepalQuake
138,592355847121936384,"@PMOIndia people of Nepal waiting for more help. Please send more help at the earliest.they need blood, Medicean, water and food packet."
139,592355156085186560,"RT @zaurav: We need to provide more tents #nepal
 https://t.co/Tc5GQt6xQT"
140,592355188909875200,"RT @aparna_jain: ""No electricity, inverter gone, no water to drink"" he says. ""And now rain."" #nepal #heartbreak"
141,592350720810196992,RT @TLWH: Polish Trekker missing in Lamjung Nepal. Very difficult situation. No news. No search helicopter as they are all busy in main aid…
142,592364546032930816,"My friend from nepal msgd that.huge scarcity of tents,food.lot more needed to be done on grnd in nepal"
143,592367918131871744,"RT nytimes ""RT nytimesworld: Earthquake victims sleeping outside in Nepal, water and food are scarce.  Live update… http://t.co/ajEkw5UvFz"""
144,592364807925452803,"RT @brionv: Lots of people in #Nepal will be needing water and food aid, please kick in a few bucks for instance via Oxfam: https://t.co/1h…"
145,592364365916950528,"RT @WorldVisionUSA: Children after Nepal earthquake scared, won't let go of parents. It's freezing—need shelter: http://t.co/ZqF1mLvnHg htt…"
146,592362781665468416,"RT @richardhorton1: Nepal: urgent messages for expertise in disaster management, including, eg, cardiothoracic surgery. Collapse in command…"
147,592368351587868672,RT @FocusNewsIndia: #NepalEarthquake | #Nepal PM Sushil Koirala requests for urgent blood donation for victims rescued from #earthquake htt…
148,592372743200354306,RT @KanakManiDixit: Blood donations apparently shortage of certain types. Please call Dr Manita at 98510-84500 at Nepal Red Cross Blood Bank
149,592376977329299457,"Tents, food, water, sanitation, medicine - need of the hour in #Nepal. #EarthquakeAgain #earthquake"
150,592374763303010305,"RT @akhileshanandd: #NepalEarthquake victims sleeping outside in Nepal, water and food are scarce  http://t.co/Y4NAC0sNrq"
151,592374976390438912,"RT @NewIndianXpress: Nepal PM Koirala Requests Citizens to Donate Blood 
Read: http://t.co/9TngJxuwCL"
152,592372631187238913,"RT @AnupKaphle: Immediate health needs in #Nepal, acc. to WHO:

Medical tent ( 50 bed capacity): 100
Surgical Kits: 50 
IEHK: 20 kits
Body …"
153,592370709243899904,RT @ksushma140: Nepal govt has asked India for help with respect to rescue &amp;  medical teams.  #MSGHelpEarthquakeVictims http://t.co/VEnxTcF…
154,592374969067143168,"RT @AlRoxburgh: Spoke to my brother in #Nepal. Urgent need clearly water, food and shelter.
Rain coming down and aftershocks continuing #Ne…"
155,592376974934310912,Very much shortage of food packet in Nepal as per timesnow news report. Hope @RSSorg already started to serve the people. @DattaHosabale
156,592378613955174400,RT @karthikraobr: Earthquake survivors urgently need help. Give lifesaving food today and help @wfp respond. http://t.co/lq5UpdSgWh
157,592379481731375104,"RT @Ruzi_Gunarathna: @Asli_Jacqueline fans Nepal Pple desperate 4 food,medicine,shelter frm #Nepalearthquake .At least 1,900 people r dead …"
158,592378023556448256,RT @Outlookindia: Nepal PM Requests Citizens to Donate Blood | http://t.co/y9xXvMWG27 | Outlook Wires
159,592382943177277440,RT @oxfamgb: A powerful earthquake has hit Nepal. Oxfam is there. We urgently need your help to provide clean water &amp; sanitation. https://t…
160,592378624726052864,"RT @ananya116: Update from #Kathmandu: Fresh tremors; situation's getting worse. Electricity; water, nothing back yet.
#NepalEarthquake #Ne…"
161,592381779849314304,"RT @ArtOfLivingNow: Contribute Food, water, medicines, shelters, sanitation and basic relief materials needed for #NepalEarthquakerelief ht…"
162,592378603947458560,"RT @GodslayerRon: Donate money to help survivors of Nepal get food, water and shelter, NOT churches."
163,592391063874064384,"RT @nytimesworld: Aftershocks, rain, lack of shelter and fears in Nepal that water and power will run out. http://t.co/8BCXwU9TbP http://t.…"
164,592391743124832256,"RT @Me_Physio: We dont need money All we need is food,water N Medicine ,Help My people of Nepal,instead of donating money help them by send…"
165,592391964194111488,RT @borgebrende: Important deployment of a field hospital from @rodekorsnorge - urgent need for health care in Nepal. Lives can be saved in…
166,592387266502266880,"@Harry_Styles Thank you for tweeting this. Please donate food, money, blankets, water to NEPAL. We need you today. # prayfornepal"
167,592389454045655040,"RT @AnantBhan: Colleagues in Nepal: acute need for orthopaedic surgeons and cardiothoracic surgeons, trauma specialists #NepalQuakeRelief @…"
168,592389952530350080,"RT @__floret__: Kathmandu alone is not #Nepal,they need help outside Valley aswell.Whr people hv no facilities like Internet,etc#HelpNepal …"
169,592394606827819008,THT - Hospitals may face shortage of oxygen‚ medicine http://t.co/KUm8Wwp83N
170,592505057553326080,"For Rescue and Relief - During earthquake following is types of people needed 
 Skilled rescuer, Doctors,... http://t.co/28rELvZskC"
171,592509413807693825,http://t.co/EiDTcYi7MD 1 million #children need humantarian assistance in #Nepal #UNICEF #earthquake
172,592513072801054720,"RT @Ekendra: Dear rescue team, we have run out of supplies including water, food &amp; tents at this location 27°39′26″N  85°18′36″E #earthquak…"
173,592517202965725185,RT @nanu_shristi: thousands people are waiting for food n drinking Water in open space after earthquake plz help them  @USAIDNepal @BBCNews…
174,592521218407858176,RT @yogrishiramdev: I appeal every one to donate blood for the injured in earthquake in India &amp; Nepal http://t.co/yIMPr913nL
175,592522897584836608,Earthquake survivors urgently need help. Give lifesaving food today and help @wfp respond. http://t.co/I4APKZec1b
176,592526595774021632,"CRIMES WARRIOR BREAKING
AFTER EARTHQUAKE TOP REQUIREMENT OF NEPAL
FOOD, WATER, BLANKET, MEDICINE, TENT
NEPAL EMBASSY OFFICIALS IN INDIA"
177,592526495802925056,Nepal earthquake: Survivors fight for food in Kathmandu: http://t.co/2p11FPzW2H via @YouTube
178,592529670836355072,"RT @Ekendra: Dear rescue team, we have run out of supplies including water, food &amp; tents at this location 27°39′26″N  85°18′36″E #earthquak…"
179,592542239563378688,Nearly 1 million children require urgent humanitarian assistance after Nepal earthquake http://t.co/9Udo42CX9u
180,592545267859070976,"@narendramodi 
Sir, in incidents like earthquake there is need for more Orthopedicians.I appeal to States&amp;centre to send Ortho team to Nepal"
181,592549938073980928,"RT @KafleShristi: High possibility of air and water borne diseases in #Kathmandu, people are in open spaces with no nutritious food and saf…"
182,592552801546305536,Sounds of traffic are back this morning in Kathmandu. People are still displaced. No electricity or running water. #kathmandu #earthquake
183,592554024240459777,"RT @insan_shweta: The 7.9 earthquake dat hit nepal has dstroyed buildings, cellphone netwrks r down nd power is out @Gurmeetramrahim #MSGHe…"
184,592560469694644224,"3Novices:After Losing Homes, People in Earthquake-Hit Nepal Face Food Crisis With aftershocks spreading fear and thousands pitching tents o…"
185,592560157306982400,RT @ElizahoyleOwen: Nepal earthquake: thousands in need of shelter in country little able to cope http://t.co/h8x9g30WXp #earthquake #shelt…
186,592560461909921792,RT @shikhagautam: #Nepal earthquake - huge requirement of food &amp; water in smaller villages outside the cities. RT &amp; tag NGOs/individuals/or…
187,592561602072682496,RT @HuffPostIndia: Almost one million children in 'urgent need' of aid after Nepal earthquake http://t.co/9XgHEslzBY http://t.co/1cwHjntyxe
188,592563093185568768,Volunteers needed ! #NepalEarthquake #earthquake https://t.co/kmwolSHZT0
189,592564617718542336,"RT @KafleShristi: Shortage of water and food is one of the major challenge, lets share the food with each other ! Lets help #earthquake #hu…"
190,592568573609934848,"RT @hitendudhatra: After Losing Homes, People in Earthquake-Hit Nepal Face Food Crisis: With aftershocks spreading fear and thous... http:/…"
191,592574465222922240,"RT @STcom: #Nepal earthquake: B&amp;B Hospital in Bhaktapur is overcrowded; many lying outdoors, says ST bureau chief Nirmal Ghosh http://t.co/…"
192,592574305218596864,"@USEmbassyNepal Earthquake Nepal  No rescue team has seen ppl at the epicenter,monsoons dieing no food, shelter, water Laprak flattened RT"
193,592577562670333952,RT @FredHollows: Our Director in #Nepal says the Dhulikhel hospital is ‘overflowing with trauma patients’ from the earthquake @SBS http://t…
194,592580627251077120,"RT @NewsMobileAsia: #NepalEarthquake Teams to start focusing from Rescue to Relief. After earthquake shortage of food, fuel, medicines,wate…"
195,592580417871450113,Nearly 1 million children require urgent humanitarian assistance after Nepal earthquake
196,592581865610969088,Earthquake survivors urgently need help. Give lifesaving food today and help @wfp respond. http://t.co/lqLEbLDVnU
197,592585616438636544,"RT @NRaule: Last night, people are searching for tent, at BICC area. No foods, no water.
#earthquake #Nepal http://t.co/6IMSqiQxTc"
198,592590528660709376,"Earthquake, a surgical emergency http://t.co/npp22bhTRS #docplexus"
199,592595552723804163,RT @guardian: Nepal earthquake: thousands in need of shelter in country little able to cope http://t.co/phtN81DngV
200,592598491706232832,"RT @TheShwetaPandit: Nepal.. Prayers 🙏🏻

Earthquake n Avalanche! Death toll rising.. Water n electricity cut! No food! Sanitation issues!"
201,592597740212760577,"RT @STForeignDesk: #Nepal earthquake: B&amp;B Hospital in Bhaktapur is overcrowded; many lying outdoors, says ST bureau chief Nirmal Ghosh http…"
202,592613731328069632,RT @shikhagautam: #Nepal earthquake - huge requirement of food &amp; water in smaller villages outside the cities. RT &amp; tag NGOs/individuals/or…
203,592617468004175872,"RT @DK_Diksha: After the earthquake, water supply was cut off because waterworks were damaged and power plants were shut down. #MSGHelpEart…"
204,592618338649579520,"You can donate water, old cloths, medicines, bandages, anything helpful for the Earthquake victims. 
Location :... http://t.co/MYNhGQ8Svu"
205,592620564419780608,RT @BloodConnect01: Kathmandu hospitals struggling after Nepal earthquake. Generous Blood donors needed asap. RT @BloodDonorsIn http://t.co…
206,592624966052360194,Nepal Earthquake: Several Cities Still Without Any Power Or Water: http://t.co/WjHouRdZ8Q via @YouTube
207,592630528022577154,"AYON is mobilizing support for #earthquake victims - urgent need of doctors, food supply, water purifier &amp; tent,... http://t.co/pUJvTuGssH"
208,592628956584521728,"Distribution on tents, water and food is too haphazard in #Tudikhel as people complain of no access to these relief items. #earthquake"
209,592629652818034688,"Doctors say there is enough manpower but less beds, OPDs and medicines in the hospital #TraumaCenter #KTM #earthquake"
210,592632778451132417,"Prayers are not helping the Nepal earthquake victims;donation,volunteers &amp;deployment of rescuers professional on the ground is wht they need"
211,592636278753009665,"Rescue team needed in Gorkha, Gandaki, Western Region, Nepal http://t.co/DFSrJR64bj #NepalWatch"
212,592639304519802880,"RT @burke_jason: I'm In Kabre district, 25 miles outside Kathmandu. 100,000 homeless, hospitals down to last 8 hours generator fuel. #earth…"
213,592647856160378881,"RT @NewsMobileAsia: #NepalEarthquake Teams to start focusing from Rescue to Relief. After earthquake shortage of food, fuel, medicines,wate…"
214,592648392691560449,earthquake -Nepal has exposed its medical facilities as hospitals struggle to treat vast numbers of injured with limited supplies and staff.
